DEPTH 2
Puzzle : 312645078 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312645078 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312645078 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312405678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 1 | cost(h2): 3
Puzzle : 120345678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 120345678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312405678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312645078 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 142305678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 120345678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 142305678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312405678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312405678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312645078 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312645078 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 142305678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 120345678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312405678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 142305678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312405678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 142305678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312645078 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 120345678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 142305678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 142305678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312405678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312645078 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 120345678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312405678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312405678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
